hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label
2022-01-08 18:00:00,3040.84,3133.56,3000.0,3080.95,170881.3331,520941784.24,322373,304134,533229.11974,67,232451.178887,562,133121.82081,172.85530455,116098.954,108,112,194,0
2022-01-09 00:00:00,3080.98,3147.53,3057.35,3123.04,73596.7406,229390513.03,141522,287382,275929.14009,19,43477.128544,354,100688.855328,127.09081903333333,12756.80867,100,53,66,0
2022-01-09 06:00:00,3123.04,3146.0,3084.81,3128.42,58377.0801,181888015.26,125989,258661,272179.33427,24,71284.79879100001,335,91009.10321,128.2351835,43382.20515,53,58,40,0
2022-01-09 12:00:00,3128.42,3177.86,3072.71,3166.66,79357.4099,247747840.36,169535,274323,236099.71293,25,46682.452429,289,78101.96182699999,144.07985559,46239.77317,59,55,63,0
2022-01-09 18:00:00,3166.65,3211.72,3143.84,3151.97,64542.933699999994,205479112.23,154477,287956,257978.68299,15,60024.475912,278,70374.29729,228.8140506,20135.36219,48,46,48,0
2022-01-10 00:00:00,3151.97,3185.0,3128.11,3174.0,55852.9089,176398169.62,118935,280412,267723.33988,18,53259.03904,347,91254.550032,142.66310213333335,11175.3446,68,51,39,0
2022-01-10 06:00:00,3173.99,3175.07,3094.39,3104.5,69142.025,217042447.14999998,133804,304993,340885.26851,33,118657.860561,381,100992.361798,187.8650364166667,30289.52817,71,67,81,1
2022-01-10 12:00:00,3104.42,3110.94,2928.83,3012.3,332311.4445,1001637604.27,524713,336911,764372.48681,102,325411.577688,864,248562.75486,286.36938465,80582.97632,116,124,181,0
2022-01-10 18:00:00,3012.3,3096.15,3003.24,3082.68,72512.0082,221472302.0,157705,310879,486508.61038,56,223986.07691,401,112585.84088,237.21745640000003,50802.74462,73,72,83,0
2022-01-11 00:00:00,3082.87,3128.5,3051.8,3110.66,60795.6023,188367979.75,116043,314021,492812.78753000003,42,252420.95487,402,100356.468183,189.14913628333332,17763.35483,91,73,70,0
2022-01-11 06:00:00,3110.66,3146.98,3088.0,3110.93,70114.9801,218407858.05,142909,314916,313276.75911,34,88471.226912,388,87085.42285,162.36386695,54476.77136,64,69,84,0
2022-01-11 12:00:00,3110.92,3263.54,3075.48,3231.67,177256.62149999998,563438062.12,285148,325012,500677.91122999997,49,186075.82885999998,571,158864.26431,184.9121608,43268.60454,94,112,101,0
2022-01-11 18:00:00,3231.66,3249.95,3217.06,3239.72,54279.504799999995,175638683.67000002,124861,323700,339378.57787,38,74013.010623,453,114938.75771,203.29022014999998,62786.59817,79,72,119,0
2022-01-12 00:00:00,3239.73,3259.99,3217.52,3230.0,53496.5741,172997935.61,113875,328155,403420.03587,34,131630.655282,458,123495.13312,205.48371870000003,22694.00817,100,74,76,0
2022-01-12 06:00:00,3229.99,3295.96,3206.2,3272.51,93515.0445,303835076.38,175383,310695,360048.92728,32,127574.592464,391,109983.15796,135.53001615000002,38125.82338,66,68,69,0
2022-01-12 12:00:00,3272.5,3388.02,3268.25,3381.44,166764.5897,557763163.92,303598,323750,631484.90875,58,273172.69842,674,196045.36209,176.54648145000002,30533.32794,111,110,120,0
2022-01-12 18:00:00,3381.44,3411.43,3355.51,3371.26,56689.5932,191442521.59,144340,320746,411998.12023,47,131221.518526,397,105359.1126,258.98669090000004,69024.87183,80,65,73,0
2022-01-13 00:00:00,3371.6,3384.56,3310.0,3337.01,60790.576499999996,203311014.51,136191,312892,399023.14351,71,156495.831698,426,109536.89143,175.17509435,26888.02628,71,69,112,0
2022-01-13 06:00:00,3337.01,3379.0,3328.86,3333.99,55979.8831,187525837.78,123776,320168,378089.74392000004,46,173027.790385,302,84341.43886,141.17200161666668,29000.0,61,54,64,0
2022-01-13 12:00:00,3334.0,3410.0,3249.0,3281.71,150503.1903,500389431.62,259585,336200,960248.72023,68,674444.96896,490,131785.79564,179.6442034833333,18800.55117,88,85,98,0
2022-01-13 18:00:00,3281.4,3296.49,3233.43,3240.61,68961.23,225067323.77,146934,313661,325605.14788,36,98187.684346,359,90565.89,173.82857281666668,94511.58656,65,67,85,0
2022-01-14 00:00:00,3240.61,3306.21,3222.22,3304.81,53217.821299999996,173759592.57999998,111961,313171,334711.3077,36,124014.752462,333,86283.813243,257.03341925,82079.78812,74,54,65,0
2022-01-14 06:00:00,3304.82,3312.39,3193.34,3202.51,82033.8186,266635235.39,158018,303443,382254.94169,50,162154.67863,427,101135.09017,143.18551736666666,18424.16341,79,122,83,0
2022-01-14 12:00:00,3202.51,3308.57,3188.0,3279.6,98365.3638,319910803.01,182866,312917,456813.17725,34,192158.31702999998,415,118027.92165,187.3378797,39683.5174,84,67,87,0
2022-01-14 18:00:00,3279.6,3342.79,3270.65,3307.42,51709.3468,171041541.79000002,119280,288929,483181.87998,54,251915.83513,351,90929.76388,173.3839298833333,39173.47794,69,64,83,0
2022-01-15 00:00:00,3307.42,3325.68,3293.31,3308.22,39825.6118,131784831.75999999,85202,294422,329287.68414,23,150236.355833,232,57719.480343,165.51530334999998,41128.90773,57,40,54,0
2022-01-15 06:00:00,3308.21,3338.93,3302.75,3318.54,34111.5956,113204618.3,86980,285904,220086.21232,28,78189.307658,189,43001.047305,115.57945055,23237.32955,40,44,50,0
2022-01-15 12:00:00,3318.54,3371.64,3261.0,3349.89,94631.693,314974988.16,181380,292940,294384.96609,31,94388.909159,339,89096.584189,126.71291468333334,20914.57906,69,57,74,0
2022-01-15 18:00:00,3349.89,3370.24,3323.85,3326.04,34531.4774,115520096.44999999,90923,301583,208259.22882,17,32104.404260000003,227,54434.524418,145.48918811666667,26433.77311,49,42,64,0
2022-01-16 00:00:00,3326.51,3337.13,3295.14,3306.0,36149.417,119896037.27,84697,296330,247544.9204,20,77928.665862,243,59954.115273,122.69525755000001,18626.02406,46,48,58,0
2022-01-16 06:00:00,3306.01,3340.04,3285.49,3312.01,49992.3606,165940325.94,109428,279284,301381.12441,17,147389.060161,241,60727.87403,109.89170894333334,8966.866248,42,40,50,0
2022-01-16 12:00:00,3312.14,3393.6,3269.62,3346.13,87646.9728,292583009.04,201798,297738,278469.75591,24,77949.29987,310,78347.85192,125.615423405,66981.0,54,52,77,0
2022-01-16 18:00:00,3346.12,3362.26,3310.42,3346.88,36993.4773,123465766.58,99394,289602,205794.55623,13,24878.990235,237,51786.328987,172.96528750000002,29401.33349,56,39,78,0
2022-01-17 00:00:00,3346.89,3357.57,3237.16,3265.7,84136.5665,276754178.82,184641,297004,401721.06440000003,35,131548.236428,454,127223.28715,215.99518605,40308.72053,67,58,120,0
2022-01-17 06:00:00,3265.7,3299.95,3251.0,3255.94,51521.7981,168557239.12,132571,301389,259379.62602999998,22,79856.066283,298,73328.1562,104.02679187000001,70999.54813,50,49,57,0
2022-01-17 12:00:00,3255.94,3280.6,3192.59,3207.23,76431.746,247533102.06,174617,304520,488003.51669,54,247567.40341,410,110512.61334,117.25196851666668,24536.46985,72,70,87,0
2022-01-17 18:00:00,3207.23,3226.04,3141.1,3209.67,71973.5442,229724126.92000002,154590,295806,367792.96135999996,44,133049.533579,364,95031.20111,168.69506288333335,55053.72167,61,58,88,0
2022-01-18 00:00:00,3209.68,3243.87,3163.17,3174.34,55899.4147,178991587.32999998,115733,285756,296767.02366,21,88164.765162,390,94867.92896399999,120.12424533333335,89443.71449,60,59,120,0
2022-01-18 06:00:00,3174.33,3208.0,3128.39,3171.21,71396.3247,226265903.83,142933,277634,307751.11725,26,107072.22513400001,366,91310.04374,105.21431194,10882.0,75,79,87,0
2022-01-18 12:00:00,3171.22,3181.17,3100.18,3104.12,102118.7408,319369534.9,176355,313547,526590.6085399999,64,272611.793224,438,114694.06122,127.66910468666667,49098.36358,80,72,115,0
2022-01-18 18:00:00,3104.13,3193.0,3082.0,3159.85,69719.7926,218513756.32,144463,292589,404592.70036,68,172519.64781,378,93995.22099,143.05829256666667,102526.5363,95,67,107,0
2022-01-19 00:00:00,3159.85,3174.87,3088.0,3106.0,67247.5186,210474976.73,132821,294542,431131.38519,40,201061.170708,400,95646.88527,120.26172258999999,21744.70476,83,80,101,0
2022-01-19 06:00:00,3106.0,3130.33,3000.0,3117.28,115762.27410000001,356195450.1,202720,293248,542383.95724,61,293702.61588,452,118042.1569,88.24294439666666,27523.78827,93,90,100,0
