hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,drawdown_6h_label
2018-04-28 00:00:00,643.41,671.0,638.76,668.08,23730.32795,15675597.135,22947,0
2018-04-28 06:00:00,668.49,687.51,662.5,677.96,34859.184180000004,23546962.102,34358,0
2018-04-28 12:00:00,677.96,694.9,675.2,682.01,35734.37769,24502286.094,37093,0
2018-04-28 18:00:00,682.01,689.99,673.46,682.86,18804.47355,12871770.102,20363,0
2018-04-29 00:00:00,683.5,700.49,682.84,691.9,27067.75673,18790584.589,28318,1
2018-04-29 06:00:00,691.8,697.86,665.28,674.23,42405.4911,28839301.535,44072,0
2018-04-29 12:00:00,675.07,687.48,669.0,680.35,26856.95811,18243599.019,30707,0
2018-04-29 18:00:00,680.35,691.8,677.6,690.85,13690.03275,9361594.159,18080,0
2018-04-30 00:00:00,690.85,695.3,675.5,687.0,25276.8537,17360174.156,25674,0
2018-04-30 06:00:00,686.99,694.0,673.18,686.65,31361.708400000003,21432656.108,32331,0
2018-04-30 12:00:00,687.52,692.54,678.0,681.5,25278.337760000002,17305156.98,22775,0
2018-04-30 18:00:00,681.98,687.0,662.2,670.78,30578.01734,20556041.737,28375,1
2018-05-01 00:00:00,670.78,671.2,627.58,651.6,58249.444180000006,37580782.631,45953,0
2018-05-01 06:00:00,652.0,675.0,651.18,659.69,22466.56237,14957115.826,24598,0
2018-05-01 12:00:00,659.09,665.04,642.92,661.03,30285.078569999998,19737627.561,28797,0
2018-05-01 18:00:00,659.78,675.6,656.0,672.0,22122.58163,14790398.836,21073,0
2018-05-02 00:00:00,671.99,682.0,663.0,678.7,23810.98284,16050340.482,26095,0
2018-05-02 06:00:00,678.5,688.12,676.68,683.12,18991.97252,12962687.976,23377,0
2018-05-02 12:00:00,683.0,684.5,669.0,679.42,23590.79683,15998416.522,25225,0
2018-05-02 18:00:00,678.83,691.99,672.23,688.56,19791.75111,13536252.526,22837,0
2018-05-03 00:00:00,688.55,732.26,685.39,713.97,59316.419350000004,42284369.155,57001,0
2018-05-03 06:00:00,713.97,728.21,707.37,722.55,33445.20965,24016238.526,35431,0
2018-05-03 12:00:00,722.2,777.68,722.2,771.03,85264.63762000001,64121021.487,71517,0
2018-05-03 18:00:00,771.06,792.08,753.0,779.0,51392.94238,39561259.166999996,46510,0
2018-05-04 00:00:00,779.0,782.79,756.91,773.94,42631.25284,32943940.493,39993,0
2018-05-04 06:00:00,773.94,810.0,772.0,802.01,56874.11006,45250250.385,48314,1
2018-05-04 12:00:00,802.27,807.5,762.6,777.62,59889.01009,46979059.47,52049,0
2018-05-04 18:00:00,777.0,795.0,770.12,785.99,20530.029160000002,16110012.576,21334,0
2018-05-05 00:00:00,785.8,817.0,781.56,812.34,32688.396370000002,26254813.209,29706,0
2018-05-05 06:00:00,812.05,823.2,802.39,817.8,28935.73087,23522803.327,26263,0
2018-05-05 12:00:00,818.19,832.66,811.16,812.98,39949.04486,32887042.121999998,39356,0
2018-05-05 18:00:00,812.39,821.21,799.61,819.5,27058.01554,21929642.953,25811,0
2018-05-06 00:00:00,819.5,839.99,802.65,802.65,37466.7496,30915409.39,37717,1
2018-05-06 06:00:00,803.78,804.99,770.0,774.07,61201.52056,48156599.414,51757,0
2018-05-06 12:00:00,774.05,795.29,752.49,790.55,49934.506199999996,38750436.789,42635,0
2018-05-06 18:00:00,790.55,796.83,776.52,794.3,18268.38366,14365183.855,22720,1
2018-05-07 00:00:00,794.3,799.14,741.23,756.79,63044.13653,47895758.491000004,49948,1
2018-05-07 06:00:00,757.2,758.99,705.46,733.0,87959.55714,64119844.629999995,75192,1
2018-05-07 12:00:00,733.0,749.93,701.0,737.76,82886.9304,60186960.934,65162,0
2018-05-07 18:00:00,738.53,766.87,735.12,752.49,50346.43921,37863621.231,42109,0
2018-05-08 00:00:00,753.0,777.0,751.3,752.69,38257.37929,29320185.11,35865,1
2018-05-08 06:00:00,752.69,762.5,727.98,728.01,40182.68595,29996042.945,36793,0
2018-05-08 12:00:00,728.01,742.91,720.02,735.74,33535.18716,24566323.698,31210,0
2018-05-08 18:00:00,735.33,759.05,725.76,748.99,23130.94381,17273645.505,23103,1
2018-05-09 00:00:00,748.99,750.75,710.26,724.0,37820.15109,27461609.916,34090,0
2018-05-09 06:00:00,724.0,748.8,717.0,743.96,27131.76832,19895431.380999997,23877,0
2018-05-09 12:00:00,743.49,760.74,741.1,752.25,28392.29219,21311437.494999997,25884,0
2018-05-09 18:00:00,752.0,757.51,743.96,751.75,19009.16598,14265357.664,20742,0
2018-05-10 00:00:00,752.4,769.88,751.0,759.9,22751.38284,17284932.009,22277,0
2018-05-10 06:00:00,758.12,766.89,753.15,760.84,18982.75165,14464960.375,21096,1
