hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label,Market_Regime
2021-01-20 06:00:00,1368.05,1379.6,1250.0,1265.39,704524.04019,925143323.54,530829,315763,2011562.3017,170,1383127.6202,1471,377081.67212,78.84620220666666,22144.68339,205,219,314,0,1
2021-01-20 12:00:00,1265.41,1321.95,1235.42,1311.52,687268.73924,884501926.32,563319,321372,1503716.3427,166,886800.9401499999,1263,343621.84864,113.64781561333332,59523.80952,170,167,236,0,1
2021-01-20 18:00:00,1311.51,1389.42,1302.1,1376.99,341490.84184999997,456655230.69,366546,276651,1100200.5829,97,688627.31277,823,229356.97144,71.36034441166667,28223.31645,121,119,171,1,1
2021-01-21 00:00:00,1376.72,1390.0,1278.99,1305.55,433205.67015,574447084.62,366209,280966,910054.9978,99,449686.10922,1018,274913.11778,71.25895454833334,28930.10581,141,128,232,1,1
2021-01-21 06:00:00,1305.54,1323.66,1222.0,1236.31,616915.9361299999,780056564.35,464598,323102,936813.6232,130,354633.70718,1451,357757.13357,102.21027859333331,161900.0,212,202,277,1,1
2021-01-21 12:00:00,1236.43,1260.0,1164.0,1195.58,754216.17885,913469395.0,586350,299548,1682370.5857,186,915358.028,1856,486603.98006,184.61462308333333,107438.636,261,231,366,1,1
2021-01-21 18:00:00,1195.95,1238.9,1086.0,1110.96,505870.78797,589315861.66,447463,274574,906270.44014,146,349490.02423,1226,325463.42881,125.564666225,148418.9678,209,191,257,1,1
2021-01-22 00:00:00,1111.98,1189.0,1042.31,1174.28,836956.0219899999,931615884.24,678926,296112,1568973.9923,213,789843.84765,1749,486234.99324,206.94080303,64076.09782,263,256,402,1,1
2021-01-22 06:00:00,1174.51,1210.95,1121.49,1197.57,496840.74639,580390819.05,375787,316847,955225.7089,138,377164.10255,1280,341765.39358000003,92.66800952166666,64428.57143,214,181,257,0,1
2021-01-22 12:00:00,1197.36,1252.82,1193.28,1234.08,400258.42419,490285283.91,322659,303500,1521008.7241,183,992461.12021,1109,311889.33637000003,126.90301969,37925.81754,182,156,243,0,1
