hour,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount,total_network_tx_count,total_network_volume,massive_whale_tx_count,massive_whale_volume,mid_whale_tx_count,mid_whale_volume,avg_gas_gwei,max_gas_gwei,unique_large_senders,unique_large_receivers,whale_contract_calls,drawdown_6h_label
2017-08-30 06:00:00,380.81,393.71,362.05,375.9,1700.21884,635318.41246,1624,101973,7901110.441,2657,6398232.488299999,2574,1249051.8267,25.986311506666667,5376.820988,569,609,60,0
2017-08-30 12:00:00,373.01,386.96,370.49,384.95,1435.47688,545100.19689,1562,97581,9453395.529,3880,7346580.4863,3869,1898671.9678,24.853224479999998,13000.0,1080,1181,54,0
2017-08-30 18:00:00,383.76,389.8,380.74,385.93,864.46049,332442.21168,892,91293,9160643.957,3557,6428300.25308,4524,2565174.5333000002,23.754533571666666,3600.0,1091,1196,32,0
2017-08-31 00:00:00,384.64,385.94,377.78,382.16,1003.86492,383959.47503,1154,103575,3675832.1867,39,122254.28694,6303,3341600.8424,29.662408783333333,1889.411082,718,734,38,0
2017-08-31 06:00:00,383.27,387.42,378.85,387.42,943.57587,360249.62108,836,89620,3287394.3281,57,284083.93878,5252,2738272.6986,29.95868073833333,15000.0,619,620,50,0
2017-08-31 12:00:00,385.82,389.36,383.13,385.67,1307.47733,504981.6442,1407,99232,4913551.0789,88,222737.15748,8527,4373902.6108,59.26335782666666,250000.0,1216,1210,45,0
2017-08-31 18:00:00,384.51,388.25,383.13,384.79,1180.95043,455250.65397,1177,91994,4650402.1201,84,198317.46747,8174,4263332.1013,31.766848058333334,25000.0,849,835,26,0
2017-09-01 00:00:00,386.44,394.39,384.79,384.88,1091.24044,425530.12656,1078,107198,3404029.4165000003,52,129210.83144,6049,3078479.9052,32.12305851333333,40000.0,649,678,39,0
2017-09-01 06:00:00,386.7,393.08,383.18,389.64,1280.49951,498346.73696,1082,93674,2660756.8734999998,75,218974.689189,4099,2213486.3896,30.322119285,108951.9508,473,473,27,0
2017-09-01 12:00:00,389.56,392.3,385.88,392.29,1288.83014,501402.75063,1195,103206,4419396.3354,78,213582.00095,7555,3970290.7036,27.914036038333332,5981.989167,854,862,34,0
2017-09-01 18:00:00,392.29,394.02,387.11,388.46,538.11425,209947.99951599998,769,86919,5017450.279,82,167335.095591,8973,4663172.8136,25.989724268333333,2109.057041,1013,955,34,1
2017-09-02 00:00:00,388.58,394.32,347.61,347.61,1742.18012,654524.3928500001,1858,100179,3937498.8281,50,310144.550381,6756,3423005.3697,27.457472906666666,500.103545,753,763,32,0
2017-09-02 06:00:00,348.77,375.0,347.0,357.0,2377.05321,854024.75936,2337,72554,2624112.1417,64,231975.05515,4244,2187825.5216,193.44869281333334,11909523.81,559,581,56,1
2017-09-02 12:00:00,358.25,360.28,327.09,341.63,2416.4179,826493.56146,2129,88087,3783134.3055,77,212094.56141,6680,3344492.9732999997,27.91110202666667,21000.0,724,738,63,1
2017-09-02 18:00:00,344.07,345.27,320.08,343.14,1704.6760100000001,568965.74769,1893,70977,3333933.0184,57,199912.898605,5580,2972953.9638,25.388398388333332,700.0,623,608,48,0
2017-09-03 00:00:00,343.56,365.73,340.2,363.55,1323.14551,462401.63194,1601,86039,2482176.5971,62,167791.66299,4375,2174167.8675,27.011502003333334,6060.0,477,489,28,1
2017-09-03 06:00:00,361.66,367.28,334.75,336.54,1588.90404,557931.22366,1761,70275,1827638.6946999999,64,128686.065119,2839,1535761.6576999999,23.687480339999997,1192.481337,327,358,34,1
2017-09-03 12:00:00,337.69,348.22,320.08,343.99,1921.95254,637424.97457,1964,80625,3297289.6877,109,481983.88791000005,5109,2594854.9296,24.343391914999998,3750.0,607,626,56,0
2017-09-03 18:00:00,344.27,347.68,337.35,341.77,419.62002,143944.787613,827,65586,2949041.986,39,86921.34922,5273,2737266.1625,23.04829547,2564.0,574,541,31,1
2017-09-04 00:00:00,339.29,344.55,327.35,334.99,720.60574,240504.83461999998,1070,87302,1747665.6894,39,74291.456757,3845,1497713.0984,26.22264816166667,9000.0,435,500,38,1
2017-09-04 06:00:00,333.99,335.5,270.0,289.93,3242.59601,972376.6877199999,2772,119701,2901022.0700000003,158,542162.18424,6570,1912008.95701,26.516137006666668,3754.551708,1976,1774,171,1
2017-09-04 12:00:00,286.35,298.18,267.94,271.33,1896.14486,531563.87313,2298,134046,6320691.623,164,360755.38242000004,10722,5522213.6197999995,29.39488569,11807.63786,1082,1090,156,0
2017-09-04 18:00:00,271.33,312.92,271.33,283.77,878.4639999999999,258000.7863,1263,101543,5225051.9574,107,339941.23268200003,9079,4597098.5626,28.381769676666664,7000.0,1302,1094,59,1
2017-09-05 00:00:00,286.81,298.74,235.55,271.51,3083.29022,834231.50067,2868,123094,4163402.7005000003,146,550328.84647,6679,3206890.4606,29.28890579833333,6000.0,796,780,142,0
2017-09-05 06:00:00,273.72,299.64,272.85,295.98,2558.10273,740258.44888,2847,114019,3049466.1714999997,127,345767.85065,4907,2318044.2935,30.08203603833333,33022.89805,529,583,148,1
2017-09-05 12:00:00,295.79,309.82,285.94,305.0,1602.19927,478329.35595,1895,110592,4352485.597999999,147,476886.16396000003,7310,3536773.969,31.815410043333333,21000.0,750,750,93,0
2017-09-05 18:00:00,303.27,321.52,303.16,312.09,1100.82702,344671.61238,1389,96867,4192543.2894,103,299533.33801,7100,3664261.0041,29.3651812,10704.43488,923,754,54,0
2017-09-06 00:00:00,313.29,333.12,312.09,320.36,2013.2192800000003,655242.35072,2467,129443,4037321.5834,127,374379.98861,6553,3306850.4997,34.033447126666665,9407.7984,755,782,118,0
2017-09-06 06:00:00,321.76,335.02,314.76,335.02,1544.42002,502111.94012,2307,130219,3582237.1855,141,687240.35521,4915,2504055.1349,37.820252546666666,10000.0,605,566,155,1
2017-09-06 12:00:00,331.73,335.24,321.01,335.0,1719.3536199999999,566466.226,2282,120291,4252107.5612,112,346259.2731,7258,3573792.3364999997,38.702745756666665,21000.0,763,788,89,0
2017-09-06 18:00:00,335.0,336.34,335.0,335.0,209.31696,70142.34166,33,116423,4270801.5339,300,620684.06485,6522,3383272.4151999997,35.11859788833333,20000.0,724,724,37,1
2017-09-07 00:00:00,335.01,335.01,320.35,328.02,815.11762,266920.26481,416,116739,3195187.1361,49,132781.217371,5644,2814309.8829,36.356841675,20000.0,639,649,57,0
2017-09-07 06:00:00,329.06,332.53,320.17,329.94,608.27034,198357.76354,632,127542,2381714.8354,79,251499.44183,4576,1776294.2294,38.31101154666667,29232.08303,598,588,67,0
2017-09-07 12:00:00,329.94,342.5,327.79,332.79,1344.47994,449552.09946,1174,121858,4366702.1276,119,220737.619823,8169,3809611.3992,40.168908863333336,10000.0,1231,1227,59,0
2017-09-07 18:00:00,333.12,338.35,329.15,334.49,336.02955,112305.55915999999,413,82208,1474510.90889,88,236534.25075099999,2879,1093565.61494,26.3717164,2750.09903,1015,1118,40,0
2017-09-08 00:00:00,334.49,335.1,326.79,330.58,462.55314,153125.256486,467,110719,2490296.6253,44,103032.77113000001,6934,2080298.477,33.74007920333333,1099.0,1534,1532,53,0
2017-09-08 06:00:00,330.99,333.76,324.72,331.53,503.99448,166667.94716,529,122019,1494166.2687,72,244385.25215,3284,953005.7668,39.706670965,3000.0,415,399,55,1
2017-09-08 12:00:00,330.1,331.57,272.0,288.3,3037.6074,905393.4601200001,1518,129162,2893938.8679,140,378483.48375,7066,2076029.681,48.476695568333334,3384.0,1022,1028,92,0
2017-09-08 18:00:00,292.02,306.9,281.52,302.99,911.60191,269123.2228,713,101770,6299040.5737,1757,3195889.2475300003,5452,2910351.342,44.49393588833333,4100.0,787,892,62,1
2017-09-09 00:00:00,300.01,306.42,281.66,306.42,1113.79725,328202.43337,791,122003,5213300.7948,2260,3798087.7967,2615,1154764.93523,33.806245313333335,6669.0,518,543,70,1
2017-09-09 06:00:00,306.42,306.42,295.0,303.0,384.71515,115779.59145800001,363,102047,3602412.1628,1490,2501325.4573,2105,843295.35947,30.874728695,4511.7,364,429,58,1
2017-09-09 12:00:00,300.83,307.0,288.72,288.72,691.4594599999999,207075.76287,502,93924,5094443.635,2273,3926685.3135,2545,953108.84118,27.150693353333335,3587.0,542,566,47,0
2017-09-09 18:00:00,288.73,302.77,285.17,296.74,550.61636,162692.571236,300,65680,5744758.9959,2328,4105083.2396,2658,1520928.2736,23.633979354999997,2995.012684,707,523,28,1
2017-09-10 00:00:00,296.72,299.0,275.6,280.6,954.32089,276543.29573,636,89909,3866573.4562999997,1745,2786850.6281,2244,890558.74413,29.26906062333333,2143.78095,428,433,54,1
2017-09-10 06:00:00,282.0,287.05,261.03,280.22,1790.42279,495078.79148,913,90159,3657009.2814,1569,2615605.8310000002,2189,821623.07254,44.83019877666667,2791.812821,419,410,65,0
2017-09-10 12:00:00,281.8,300.0,279.98,298.36,1005.38732,289476.07521,532,81441,4738601.0441000005,2189,3111446.7298999997,2641,1442449.47212,35.507422905,10000.0,503,509,58,0
2017-09-10 18:00:00,300.0,302.78,291.87,293.5,406.31999,120805.609719,413,63619,4694572.4789,2240,3484208.8008,2363,1099836.07755,23.332455658333334,5000.0,464,470,45,0
2017-09-11 00:00:00,293.51,304.98,285.21,291.0,3131.98063,934832.18022,1648,90720,4123146.2361,1875,3006057.5023,2316,917179.53307,27.50045493,7964.250356,443,458,48,0
2017-09-11 06:00:00,291.04,297.36,288.0,294.46,743.72248,218139.04277,664,92093,3988145.6819,1687,2890825.1484000003,2084,828059.62252,26.25156944833333,13010.79663,521,395,91,0
2017-09-11 12:00:00,293.44,301.99,292.16,299.0,738.24037,219944.40825,741,106183,3560888.15347,1398,2182297.09854,2319,1061654.54004,27.982307449999997,27000.0,662,583,53,0
2017-09-11 18:00:00,298.27,300.6,293.38,297.3,215.70299,63896.184944399996,437,76388,3212910.72235,85,165293.235354,8353,2852408.8869600003,22.926748746666664,10000.0,2258,2251,32,0
2017-09-12 00:00:00,297.78,308.84,297.51,308.84,1486.3634299999999,449374.50619,1326,110178,3896585.7209,48,106510.11311,6970,3561938.2296,28.161582115,18089.19215,755,764,53,0
2017-09-12 06:00:00,307.55,316.46,302.32,310.95,1432.58602,444167.02898000006,1532,98912,2768735.3536,85,262303.2483,4535,2261835.8371,28.928957558333334,13040.31654,553,551,61,1
2017-09-12 12:00:00,311.25,311.81,298.34,298.34,1685.4916600000001,513066.48839,1649,107030,4626629.8679,81,253622.72934999998,7831,4034870.9693,31.976556891666664,200000.0,861,893,58,1
2017-09-12 18:00:00,298.34,298.34,286.01,293.96,571.87291,166844.388971,772,88778,3788367.4192,61,303147.89197500004,6936,3270384.7726000003,23.193439703333336,13318.314,827,734,50,1
2017-09-13 00:00:00,293.93,294.5,267.0,275.6,1551.21973,437558.54569,1295,110158,1949304.8193,37,82586.288159,5295,1586481.8389,25.91031574,10000.0,638,660,59,1
2017-09-13 06:00:00,275.6,283.74,262.0,263.84,1755.67798,477857.67695999995,1102,92248,1746180.594,101,406712.06321,3773,1094459.0011,28.321711026666666,12075.0,463,497,73,0
2017-09-13 12:00:00,263.26,278.24,257.05,275.11,2156.84954,574876.7392600001,1688,96020,2755775.0822,115,376114.77683,6179,2041653.2537,29.246351468333334,77778.0,784,762,68,1
2017-09-13 18:00:00,275.1,282.77,265.5,276.91,987.48111,270787.93575,442,67253,3192923.2889,51,106723.54938499999,5689,2944217.0047,23.711933721666668,3671.855989,692,585,27,0
2017-09-14 00:00:00,275.76,283.77,270.0,271.03,859.82817,237187.416214,464,72588,2599931.8283,60,147328.718779,4624,2292409.639,26.559684485000002,5147.0,490,505,23,1
2017-09-14 06:00:00,271.11,273.0,238.34,238.39,4000.4957999999997,1040958.3253899999,2511,105328,2395539.3969,79,409342.24347,3626,1731662.1848,31.292801671666666,6445.350209,499,517,59,1
2017-09-14 12:00:00,238.43,253.01,227.03,227.03,4515.04366,1089757.7389500001,2828,111350,5072383.3574,135,479038.39829,8136,4172832.9526,28.099624351666666,18823.66227,976,983,122,1
2017-09-14 18:00:00,227.03,244.99,215.0,215.21,3226.58913,742864.30017,2363,90985,4776840.3208,369,611783.21341,7395,3908420.2853,26.051721813333334,10000.0,953,921,67,0
2017-09-15 00:00:00,217.0,243.96,212.11,228.92,2861.5867200000002,661138.93872,1948,101642,3609182.5867999997,111,360364.94263999996,5657,2963838.045,29.451080761666663,10000.0,685,686,66,1
2017-09-15 06:00:00,227.28,234.27,192.0,199.28,3996.41365,840984.7443,2383,112290,3079582.3438999997,140,284115.44623999996,4685,2388615.9562,48.555919288333335,10000.0,608,615,99,0
2017-09-15 12:00:00,199.28,270.93,195.09,246.27,5526.66823,1348568.01653,3295,127640,6332755.3226,606,1433988.99245,8541,4448997.8672,33.52261553,2284.87754,1012,1052,129,0
2017-09-15 18:00:00,242.09,263.4,241.88,253.0,1839.2267000000002,468620.12737999996,1572,100195,4620337.7036,402,915245.74676,6593,3472973.951,29.06857085333333,45647.0,867,807,47,0
2017-09-16 00:00:00,255.99,271.81,250.0,260.5,3267.6137200000003,859338.0513299999,2701,105806,2888747.6755,82,184999.670754,4741,2417558.8843,34.06653086,17329.81653,509,523,43,1
2017-09-16 06:00:00,259.21,268.72,235.51,249.99,3994.80792,1017088.46658,2760,100942,2512500.2867,111,318267.69055,4370,1879073.9564,45.12759370333333,50000.0,542,450,61,1
2017-09-16 12:00:00,249.99,258.19,242.3,247.02,2130.57651,527650.5343599999,2076,98847,2244357.3268,89,247882.98739999998,4166,1747043.5884,32.35253779166667,4247.417416,503,475,53,0
